;Entity;Code;Year;Cattle | Produced;Goat | Produced;Chicken | Produced;Turkey | Produced;Pig | Produced;Lamb and mutton | Produced;Meat, Total | tonnes;Game | tonnes;Duck | tonnes;Horse | tonnes;Camel | tonnes;Goose and guinea fowl | tonnes;Sheep and goat | tonnes;Beef and buffalo | tonnes;Pig | tonnes;Poultry | tonnes
58;Afghanistan;AFG;2019;651350.0;3593831.0;35041000.0;;;5235662.0;268273;8005.0;;;3644.0;;130387.0;98204.0;;28033.0
117;Africa;;2019;39835532.0;130001610.0;4971427000.0;34789000.0;38353919.0;127620391.0;19985519;1149883.0;162353.0;17748.0;385555.0;27333.0;3284387.0;6348847.0;1592152.0;6849669.0
235;Albania;ALB;2019;310796.0;769849.0;10256000.0;203000.0;206967.0;1326594.0;85104;;;;;;24888.0;36709.0;10232.0;13127.0
294;Algeria;DZA;2019;662163.0;1855761.0;260222000.0;5285000.0;2802.0;16950170.0;799379;;;335.0;6485.0;;347657.0;151590.0;107.0;284653.0
412;Angola;AGO;2019;628753.0;1335867.0;54446000.0;;1955705.0;289798.0;329959;9367.0;;;;;25431.0;104312.0;141847.0;49002.0
471;Antigua and Barbuda;ATG;2019;376.0;170.0;13000.0;;1280.0;249.0;141;;;;;;7.0;60.0;58.0;16.0
530;Argentina;ARG;2019;13924936.0;1070229.0;756949000.0;6981000.0;6854854.0;2700000.0;6152457;50467.0;9687.0;24498.0;;535.0;61202.0;3135908.0;629717.0;2249238.0
558;Armenia;ARM;2019;532555.0;2307.0;11836000.0;;203907.0;625873.0;107335;;;;;;10735.0;68100.0;16100.0;12400.0
617;Asia;;2019;93738457.0;336710155.0;32701524000.0;24925000.0;716634303.0;302962961.0;135122350;21128.0;4200727.0;372906.0;237705.0;2688969.0;9279073.0;19014344.0;54409796.0;50276132.0
735;Australia;AUS;2019;8704000.0;1456352.0;652754000.0;5446000.0;5316000.0;31816000.0;4818760;;16539.0;24496.0;;;752201.0;2351793.0;414470.0;1275800.0
794;Austria;AUT;2019;680530.0;67600.0;90702000.0;1390000.0;5085870.0;310000.0;871680;;520.0;120.0;;550.0;7860.0;229610.0;502030.0;131680.0
822;Azerbaijan;AZE;2019;1233500.0;;94911000.0;;9534.0;5842386.0;335719;;;;;;85300.0;137929.0;494.0;111996.0
881;Bahamas;BHS;2019;110.0;6215.0;5350000.0;;7153.0;2111.0;6921;;;;;;104.0;19.0;358.0;6440.0
940;Bangladesh;BGD;2019;2683600.0;31097337.0;291146000.0;;;702383.0;707246;;56277.0;;;;232279.0;198825.0;;259983.0
999;Barbados;BRB;2019;829.0;2127.0;9998000.0;31000.0;35908.0;2621.0;19554;;;;;;122.0;172.0;2840.0;16420.0
1027;Belarus;BLR;2019;1501470.0;;440558000.0;;5005322.0;76878.0;1152805;;2508.0;500.0;;;1200.0;328000.0;382800.0;439153.0
1047;Belgium;BEL;2019;837890.0;18220.0;295393000.0;728000.0;10720290.0;122380.0;1755460;;110.0;;;;3070.0;263750.0;1038990.0;447750.0
1145;Belize;BLZ;2019;8539.0;79.0;12019000.0;45000.0;37852.0;1655.0;24501;;14.0;;;;35.0;1743.0;2060.0;20663.0
1204;Benin;BEN;2019;202667.0;606663.0;27322000.0;;227376.0;339330.0;82431;8178.0;;;;;9463.0;42942.0;6821.0;15027.0
1263;Bolivia;BOL;2019;1344995.0;345164.0;175841000.0;315000.0;2040766.0;1379530.0;931551;;2087.0;;;;37603.0;266499.0;117767.0;487843.0
1291;Bosnia and Herzegovina;BIH;2019;53605.0;0.0;42615000.0;7000.0;107967.0;91406.0;88187;;;9.0;;;1393.0;11802.0;7749.0;67234.0
1350;Botswana;BWA;2019;170000.0;346258.0;4629000.0;;9740.0;103815.0;71416;25724.0;;;;;5588.0;34000.0;388.0;3943.0
1409;Brazil;BRA;2019;32445850.0;3183909.0;5805315000.0;83156000.0;46356359.0;6173211.0;28578980;;6987.0;22731.0;;;135443.0;10200000.0;4125728.0;14093864.0
1517;Bulgaria;BGR;2019;119090.0;151590.0;51510000.0;;1235150.0;628660.0;222034;;19750.0;;;131.0;9360.0;18355.0;81590.0;108851.0
1576;Burkina Faso;BFA;2019;1205991.0;4988683.0;55178000.0;;1348979.0;2862437.0;259760;6707.0;;366.0;261.0;;57968.0;108745.0;40470.0;44143.0
1582;Burundi;BDI;2019;74594.0;784703.0;7283000.0;;134837.0;54225.0;42634;;;;;;10522.0;15080.0;9751.0;6555.0
1641;Cambodia;KHM;2019;455642.0;;17710000.0;;2043599.0;;182610;;10185.0;;;;;61755.0;92960.0;27895.0
1700;Cameroon;CMR;2019;836751.0;1899204.0;106139000.0;;1078719.0;1445629.0;307188;72996.0;;220.0;;;34074.0;82302.0;32589.0;84911.0
1759;Canada;CAN;2019;3600700.0;;772689000.0;19812000.0;21841300.0;721300.0;5114646;;8950.0;22232.0;;974.0;16951.0;1393831.0;2173209.0;1505806.0
1818;Cape Verde;CPV;2019;4434.0;33210.0;600000.0;;46225.0;3683.0;4807;;;;;;1016.0;692.0;2311.0;788.0
1936;Central African Republic;CAF;2019;606074.0;1222598.0;7341000.0;;610224.0;163603.0;183876;22460.0;;;;;26893.0;97501.0;19390.0;6715.0
2082;Chad;TCD;2019;3787305.0;10447980.0;7983000.0;;85409.0;9830796.0;778937;4948.0;;1008.0;7003.0;;302375.0;454477.0;2549.0;6577.0
2141;Chile;CHL;2019;796183.0;247792.0;302867000.0;8393000.0;5260016.0;573438.0;1533613;;;6876.0;;;13241.0;208313.0;536011.0;769172.0
2200;China;CHN;2019;40790633.0;151414501.0;10660781000.0;;544192108.0;165574518.0;75989369;;3341045.0;130004.0;28351.0;2659600.0;4835526.0;6646764.0;42553071.0;20760509.0
2318;Colombia;COL;2019;3410107.0;42967.0;969202000.0;;4827077.0;65944.0;2900865;;;3904.0;;;1819.0;776680.0;422077.0;1693178.0
2328;Comoros;COM;2019;11036.0;37853.0;729000.0;;;6388.0;2272;;;;;;475.0;1214.0;;583.0
2387;Congo;COG;2019;37447.0;101478.0;6783000.0;;36700.0;44383.0;58738;42800.0;;;;;1518.0;5842.0;1795.0;6783.0
2446;Costa Rica;CRI;2019;385197.0;1685.0;71522000.0;;1077040.0;983.0;298610;;;;;;35.0;88595.0;64980.0;145000.0
2505;Cote d'Ivoire;CIV;2019;203385.0;807365.0;72789000.0;;271628.0;609349.0;316504;151990.0;;;;;16110.0;33559.0;11621.0;74097.0
2533;Croatia;HRV;2019;183200.0;47900.0;36908000.0;;1604800.0;464200.0;239861;;;;;;5840.0;45430.0;120800.0;67791.0
2592;Cuba;CUB;2019;475000.0;161080.0;18750000.0;;3945800.0;594383.0;363461;;;214.0;;;11984.0;80710.0;235153.0;35400.0
2651;Cyprus;CYP;2019;17250.0;115860.0;13326000.0;32000.0;583020.0;175110.0;81760;;0.0;;;;5430.0;5610.0;43350.0;26850.0
2678;Czechia;CZE;2019;244100.0;34180.0;119335000.0;138000.0;2402590.0;163810.0;467561;;;11.0;;;4020.0;74450.0;218610.0;170470.0
2720;Democratic Republic of Congo;COD;2019;109072.0;1603596.0;16517000.0;;577439.0;282966.0;242218;89081.0;;;;;19431.0;20390.0;26076.0;10406.0
2779;Denmark;DNK;2019;466900.0;0.0;104182000.0;;16862700.0;70900.0;1786224;;1500.0;206.0;;18.0;1600.0;125600.0;1500400.0;158418.0
2838;Djibouti;DJI;2019;55316.0;183857.0;;;;214224.0;11245;;;;696.0;;4532.0;6017.0;;
2897;Dominica;DMA;2019;3109.0;3417.0;364000.0;;7092.0;1793.0;1416;;;;;;66.0;560.0;426.0;364.0
2956;Dominican Republic;DOM;2019;498711.0;76627.0;208265000.0;;1124613.0;74368.0;500751;;;;;;1794.0;64300.0;79943.0;354714.0
