;Entity;Cattle | Produced;Goat | Produced;Chicken | Produced;Pig | Produced;Lamb and mutton | Produced;Meat, Total | Produced
58;Afghanistan;651350.0;3593831.0;35041000.0;0.0;5235662.0;44523862.0
117;Africa;39835532.0;130001610.0;4971427000.0;38353919.0;127620391.0;5307240471.0
235;Albania;310796.0;769849.0;10256000.0;206967.0;1326594.0;12872225.0
294;Algeria;662163.0;1855761.0;260222000.0;2802.0;16950170.0;279694915.0
412;Angola;628753.0;1335867.0;54446000.0;1955705.0;289798.0;58658142.0
471;Antigua and Barbuda;376.0;170.0;13000.0;1280.0;249.0;17094.0
530;Argentina;13924936.0;1070229.0;756949000.0;6854854.0;2700000.0;781501038.0
558;Armenia;532555.0;2307.0;11836000.0;203907.0;625873.0;13202661.0
617;Asia;93738457.0;336710155.0;32701524000.0;716634303.0;302962961.0;34151571895.0
735;Australia;8704000.0;1456352.0;652754000.0;5316000.0;31816000.0;700048371.0
794;Austria;680530.0;67600.0;90702000.0;5085870.0;310000.0;96848019.0
822;Azerbaijan;1233500.0;0.0;94911000.0;9534.0;5842386.0;101998439.0
881;Bahamas;110.0;6215.0;5350000.0;7153.0;2111.0;5367608.0
940;Bangladesh;2683600.0;31097337.0;291146000.0;0.0;702383.0;325631339.0
999;Barbados;829.0;2127.0;9998000.0;35908.0;2621.0;10041504.0
1027;Belarus;1501470.0;0.0;440558000.0;5005322.0;76878.0;447143689.0
1047;Belgium;837890.0;18220.0;295393000.0;10720290.0;122380.0;307093799.0
1145;Belize;8539.0;79.0;12019000.0;37852.0;1655.0;12069144.0
1204;Benin;202667.0;606663.0;27322000.0;227376.0;339330.0;28700055.0
1263;Bolivia;1344995.0;345164.0;175841000.0;2040766.0;1379530.0;180953474.0
1291;Bosnia and Herzegovina;53605.0;0.0;42615000.0;107967.0;91406.0;42869997.0
1350;Botswana;170000.0;346258.0;4629000.0;9740.0;103815.0;5260832.0
1409;Brazil;32445850.0;3183909.0;5805315000.0;46356359.0;6173211.0;5893476348.0
1517;Bulgaria;119090.0;151590.0;51510000.0;1235150.0;628660.0;53646509.0
1576;Burkina Faso;1205991.0;4988683.0;55178000.0;1348979.0;2862437.0;65586109.0
1582;Burundi;74594.0;784703.0;7283000.0;134837.0;54225.0;8333378.0
1641;Cambodia;455642.0;0.0;17710000.0;2043599.0;0.0;20211260.0
1700;Cameroon;836751.0;1899204.0;106139000.0;1078719.0;1445629.0;111401322.0
1759;Canada;3600700.0;0.0;772689000.0;21841300.0;721300.0;798854319.0
1818;Cape Verde;4434.0;33210.0;600000.0;46225.0;3683.0;689571.0
1936;Central African Republic;606074.0;1222598.0;7341000.0;610224.0;163603.0;9945518.0
2082;Chad;3787305.0;10447980.0;7983000.0;85409.0;9830796.0;32136509.0
2141;Chile;796183.0;247792.0;302867000.0;5260016.0;573438.0;309746448.0
2200;China;40790633.0;151414501.0;10660781000.0;544192108.0;165574518.0;11562754779.0
2318;Colombia;3410107.0;42967.0;969202000.0;4827077.0;65944.0;977550114.0
2328;Comoros;11036.0;37853.0;729000.0;0.0;6388.0;786296.0
2387;Congo;37447.0;101478.0;6783000.0;36700.0;44383.0;7005027.0
2446;Costa Rica;385197.0;1685.0;71522000.0;1077040.0;983.0;72988924.0
2505;Cote d'Ivoire;203385.0;807365.0;72789000.0;271628.0;609349.0;74682746.0
2533;Croatia;183200.0;47900.0;36908000.0;1604800.0;464200.0;39210119.0
2592;Cuba;475000.0;161080.0;18750000.0;3945800.0;594383.0;23928282.0
2651;Cyprus;17250.0;115860.0;13326000.0;583020.0;175110.0;14219259.0
2678;Czechia;244100.0;34180.0;119335000.0;2402590.0;163810.0;122181699.0
2720;Democratic Republic of Congo;109072.0;1603596.0;16517000.0;577439.0;282966.0;19092092.0
2779;Denmark;466900.0;0.0;104182000.0;16862700.0;70900.0;121584519.0
2838;Djibouti;55316.0;183857.0;0.0;0.0;214224.0;455416.0
2897;Dominica;3109.0;3417.0;364000.0;7092.0;1793.0;381430.0
2956;Dominican Republic;498711.0;76627.0;208265000.0;1124613.0;74368.0;210041338.0
3192;Ecuador;1092186.0;9969.0;156259000.0;2265688.0;348198.0;159977060.0
3251;Egypt;1386000.0;489000.0;1243942000.0;31000.0;1041000.0;1246891019.0
3310;El Salvador;111854.0;5632.0;119977000.0;143457.0;2433.0;120242395.0
3370;Estonia;36970.0;1090.0;0.0;558580.0;25250.0;623909.0
3429;Eswatini;73228.0;93279.0;6056000.0;27355.0;34470.0;6286351.0
3456;Ethiopia;3764649.0;16782397.0;73095000.0;41341.0;12790560.0;106475966.0
3515;Europe;39846190.0;8576162.0;11552469000.0;326094270.0;69111227.0;11996098868.0
3751;Fiji;22900.0;26227.0;12256000.0;90677.0;6330.0;12404153.0
3810;Finland;272380.0;770.0;78325000.0;1816400.0;71750.0;80488319.0
3869;France;4545970.0;681670.0;772443000.0;23538780.0;4182430.0;805393869.0
3928;French Polynesia;801.0;4790.0;695000.0;27370.0;202.0;730182.0
3987;Gabon;7871.0;34010.0;4965000.0;118581.0;67876.0;5195357.0
4046;Gambia;35271.0;83591.0;1649000.0;13359.0;29000.0;1812240.0
4074;Georgia;306927.0;1122.0;13263000.0;413727.0;221250.0;14208045.0
4133;Germany;3403000.0;23000.0;620568000.0;55196000.0;1614000.0;680806019.0
4192;Ghana;156818.0;1989481.0;97752000.0;604645.0;1364818.0;101869781.0
4251;Greece;144450.0;2367770.0;135550000.0;1272810.0;5600070.0;144937119.0
4310;Grenada;867.0;2188.0;550000.0;3624.0;4553.0;563251.0
4369;Guatemala;1125710.0;14614.0;140154000.0;1283311.0;136816.0;142716470.0
4428;Guinea;722063.0;1096414.0;8673000.0;83733.0;881367.0;11458596.0
4487;Guinea-Bissau;62667.0;124315.0;3591000.0;345286.0;132627.0;4257914.0
4546;Guyana;14892.0;27384.0;31747000.0;14881.0;55899.0;31862075.0
4605;Haiti;305907.0;316856.0;9615000.0;531766.0;84448.0;10855996.0
4664;High-income countries;84062360.0;15235628.0;22152916000.0;464730881.0;118095578.0;22835042466.0
4723;Honduras;343178.0;10294.0;110416000.0;162671.0;6560.0;110940722.0
4782;Hong Kong;22156.0;7517.0;15350000.0;1500000.0;13.0;16881705.0
4841;Hungary;117670.0;17630.0;174269000.0;4853580.0;88100.0;179347999.0
4900;Iceland;22728.0;0.0;5809000.0;79046.0;559596.0;6472389.0
4959;India;8889697.0;55026858.0;2738174000.0;10234917.0;23014357.0;2835341848.0
5018;Indonesia;1683668.0;6966245.0;4916187000.0;10945544.0;7558353.0;4943342829.0
5077;Iran;820259.0;1599187.0;1779614000.0;0.0;5867576.0;1787903041.0
5136;Iraq;153878.0;590967.0;111662000.0;0.0;1893687.0;114302551.0
5195;Ireland;1852510.0;0.0;96247000.0;3457210.0;3050200.0;104608939.0
5254;Israel;447434.0;319849.0;505458000.0;166000.0;441845.0;506835147.0
5313;Italy;2729600.0;152940.0;569767000.0;11642620.0;2814860.0;587109039.0
5372;Jamaica;26566.0;41965.0;81492000.0;121999.0;243.0;81684792.0
5431;Japan;1046484.0;2493.0;802588000.0;16319598.0;6344.0;819964938.0
5490;Jordan;123032.0;423770.0;261120000.0;0.0;1847207.0;263516028.0
5518;Kazakhstan;2857735.0;1076147.0;129514000.0;1176218.0;7653554.0;142279673.0
5577;Kenya;3080832.0;7346748.0;38551000.0;413483.0;3955941.0;53350023.0
5636;Kiribati;0.0;0.0;1062000.0;24877.0;0.0;1088896.0
5695;Kuwait;10322.0;41943.0;45486000.0;0.0;3069858.0;48610142.0
5723;Kyrgyzstan;611473.0;376643.0;5240000.0;187567.0;2772507.0;9190209.0
5841;Laos;283446.0;182742.0;41452000.0;3351066.0;0.0;45271273.0
5869;Latvia;83650.0;3950.0;20616000.0;496380.0;57880.0;21259879.0
5987;Lebanon;230641.0;168461.0;64626000.0;13985.0;173998.0;65215104.0
6046;Lesotho;9280.0;27699.0;1921000.0;13036.0;46050.0;2019084.0
6105;Liberia;9347.0;124208.0;17067000.0;287506.0;91987.0;17582067.0
6115;Libya;35754.0;836368.0;106524000.0;0.0;2088514.0;109486655.0
6143;Lithuania;170360.0;6500.0;54518000.0;967360.0;81000.0;55745239.0
6261;Low-income countries;21432815.0;83137146.0;973120000.0;24239769.0;64989041.0;1166920790.0
6320;Lower-middle-income countries;59204035.0;219710766.0;18745454000.0;136234689.0;150927289.0;19311532798.0
6340;Luxembourg;28210.0;240.0;0.0;157950.0;2400.0;190819.0
6399;Macao;2029.0;3200.0;3773000.0;63039.0;0.0;3843287.0
6458;Madagascar;299280.0;190050.0;63089000.0;381030.0;72770.0;64034149.0
6517;Malawi;509748.0;6427795.0;41577000.0;13582215.0;152286.0;62251063.0
6576;Malaysia;87179.0;62029.0;622459000.0;2012398.0;40580.0;624663205.0
6635;Mali;472113.0;801390.0;72257000.0;20225.0;463614.0;74016361.0
6694;Malta;3700.0;1420.0;2338000.0;51580.0;6290.0;2403009.0
6753;Mauritania;232124.0;1253967.0;6058000.0;0.0;2385637.0;9931747.0
6812;Mauritius;7303.0;1550.0;48417000.0;8865.0;1002.0;48437739.0
6871;Melanesia;74011.0;30335.0;21096000.0;2231071.0;9328.0;23442764.0
6930;Mexico;8243901.0;2194600.0;1914917000.0;19649546.0;3115253.0;1948122319.0
7076;Moldova;48805.0;0.0;36748000.0;905032.0;103800.0;37807656.0
7135;Mongolia;943746.0;6671021.0;187000.0;6492.0;9653315.0;17463593.0
7149;Montenegro;26624.0;7621.0;2995000.0;27683.0;32352.0;3091299.0
7208;Morocco;1301409.0;2319372.0;654354000.0;12568.0;12399206.0;670388574.0
7267;Mozambique;105206.0;132836.0;39370000.0;1202215.0;76516.0;40888792.0
7326;Myanmar;1789272.0;6454217.0;1209393000.0;12542244.0;1170713.0;1231351465.0
7385;Namibia;128787.0;299931.0;13478000.0;119826.0;509848.0;14538411.0
7444;Nepal;585263.0;6253619.0;83627000.0;756651.0;300631.0;91525183.0
7562;Netherlands;2123270.0;173500.0;622624000.0;16583820.0;566470.0;642073079.0
7621;New Caledonia;15627.0;186.0;467000.0;32126.0;800.0;517758.0
7680;New Zealand;4404231.0;169361.0;124620000.0;624284.0;22228133.0;152048028.0
7739;Nicaragua;834942.0;2276.0;64134000.0;259427.0;2035.0;65234699.0
7798;Niger;196885.0;1288969.0;24612000.0;33739.0;618307.0;26751919.0
7857;Nigeria;3163520.0;27514250.0;240030000.0;6676718.0;19108879.0;296495386.0
7916;North America;50605842.0;3526494.0;13069467000.0;180869775.0;7186426.0;13311657556.0
7975;North Korea;138905.0;918510.0;27419000.0;2351895.0;68075.0;30898404.0
8003;North Macedonia;20000.0;0.0;1959000.0;149000.0;156000.0;2286019.0
8239;Norway;306075.0;27722.0;68936000.0;1625295.0;1208744.0;72105855.0
8298;Oceania;13189229.0;1663965.0;801303000.0;8355503.0;54053663.0;878567379.0
8387;Oman;115635.0;698710.0;8127000.0;0.0;1039155.0;9982519.0
8446;Pakistan;8728000.0;41915000.0;1278000000.0;0.0;14810000.0;1343455019.0
8505;Panama;331349.0;0.0;133532000.0;539750.0;0.0;134405118.0
8515;Papua New Guinea;20744.0;667.0;7313000.0;1977966.0;2198.0;9316594.0
8574;Paraguay;1997314.0;86077.0;74105000.0;581578.0;115044.0;76887032.0
8633;Peru;1357067.0;411263.0;786550000.0;3284606.0;2682837.0;794287792.0
8692;Philippines;881212.0;3266631.0;1199326000.0;27167256.0;8973.0;1230652091.0
8751;Poland;1854880.0;1290.0;1147406000.0;21443710.0;67340.0;1170775239.0
8810;Polynesia;5158.0;6694.0;1565000.0;122589.0;202.0;1701662.0
8869;Portugal;369260.0;175320.0;204042000.0;5891850.0;1372910.0;211853359.0
8928;Romania;428250.0;637330.0;296382000.0;4409470.0;5125740.0;306984809.0
8956;Russia;7877284.0;1065192.0;2557284000.0;43328496.0;11297289.0;2620854280.0
9015;Rwanda;392558.0;600098.0;6355000.0;389570.0;114767.0;7854012.0
9074;Saint Kitts and Nevis;306.0;643.0;0.0;1392.0;706.0;5066.0
9133;Saint Lucia;2286.0;4183.0;1150000.0;5001.0;4971.0;1168460.0
9192;Saint Vincent and the Grenadines;935.0;2776.0;455000.0;6624.0;3793.0;471147.0
9251;Samoa;2509.0;0.0;380000.0;39475.0;0.0;424003.0
9310;Sao Tome and Principe;1069.0;1320.0;915000.0;9678.0;463.0;929549.0
9369;Saudi Arabia;294912.0;2281040.0;632376000.0;0.0;4368306.0;639322277.0
9428;Senegal;485358.0;2087850.0;80851000.0;348694.0;2472966.0;86247887.0
9442;Serbia;288524.0;238591.0;72375000.0;5538210.0;1517031.0;79959375.0
9466;Seychelles;54.0;1996.0;350000.0;5519.0;0.0;359588.0
9525;Sierra Leone;40266.0;204015.0;20644000.0;25135.0;179746.0;21095181.0
9552;Slovakia;38120.0;27860.0;46559000.0;780110.0;28790.0;47435899.0
9580;Slovenia;116300.0;24060.0;38325000.0;331540.0;97840.0;38896759.0
9698;Solomon Islands;4159.0;0.0;350000.0;64038.0;0.0;420216.0
9757;South Africa;3089000.0;706968.0;966126000.0;3238000.0;5429259.0;978591246.0
9816;South America;60278842.0;5954823.0;9344430000.0;73369243.0;15154153.0;9499189080.0
9934;South Korea;887000.0;124386.0;1026388000.0;17825000.0;327.0;1045226732.0
10229;Spain;2510770.0;1303400.0;716259000.0;52982310.0;10060050.0;783117549.0
10288;Sri Lanka;158723.0;48316.0;147256000.0;18074.0;6073.0;147489205.0
10296;Sudan;3562000.0;13444000.0;33510000.0;0.0;15400000.0;65918019.0
10404;Suriname;8318.0;579.0;6671000.0;31747.0;1157.0;6714820.0
10463;Sweden;441780.0;1390.0;103451000.0;2586030.0;270620.0;106752839.0
10522;Switzerland;615963.0;41307.0;76343000.0;2461742.0;243962.0;79707993.0
10532;Syria;450618.0;435661.0;96726000.0;0.0;4044280.0;101658578.0
10591;Taiwan;33986.0;67037.0;370644000.0;7979588.0;0.0;378726630.0
10619;Tajikistan;950594.0;0.0;3474000.0;7530.0;5960455.0;10394598.0
10678;Tanzania;3276750.0;3493803.0;109137000.0;372932.0;2000165.0;118282669.0
10737;Thailand;898098.0;122262.0;1298517000.0;12196582.0;12122.0;1311748083.0
10796;Timor;17109.0;51839.0;1416000.0;323272.0;4015.0;1814254.0
10855;Togo;45970.0;952429.0;47965000.0;651290.0;367842.0;49984550.0
10914;Trinidad and Tobago;6361.0;3021.0;32291000.0;39798.0;10392.0;32352591.0
10973;Tunisia;237134.0;709378.0;86620000.0;2445.0;3109130.0;90680106.0
11032;Turkey;3633730.0;836376.0;1207088000.0;87.0;5057026.0;1216617238.0
11060;Turkmenistan;809337.0;658889.0;16127000.0;4500.0;8281500.0;25883245.0
11150;Uganda;1169442.0;3035840.0;50070000.0;2072248.0;688799.0;57038348.0
11178;Ukraine;2127500.0;389400.0;717546000.0;8040000.0;475800.0;728580719.0
11237;United Arab Emirates;72757.0;3698952.0;41757000.0;0.0;233670.0;45764398.0
11296;United Kingdom;2826000.0;0.0;1108000000.0;11107000.0;14852000.0;1136787019.0
11355;United States;34264800.0;675200.0;9339249000.0;129990000.0;2413200.0;9506594219.0
11414;Upper-middle-income countries;131139848.0;167820082.0;30319687000.0;716747590.0;241875135.0;31577271674.0
11473;Uruguay;2231997.0;0.0;29535000.0;142761.0;857117.0;32768894.0
11501;Uzbekistan;5269439.0;0.0;28294000.0;49463.0;8822140.0;42437061.0
11560;Vanuatu;10581.0;3255.0;710000.0;66264.0;0.0;792119.0
11619;Venezuela;1654997.0;529490.0;249389000.0;1708910.0;201778.0;253486194.0
11678;Vietnam;1794421.0;1399055.0;551069000.0;42192969.0;0.0;596457464.0
11914;World;297494092.0;486433209.0;72452120000.0;1343677013.0;576088821.0;75155815154.0
11973;Yemen;1260039.0;7531075.0;189455000.0;0.0;4151645.0;202399778.0
12063;Zambia;1183931.0;864231.0;48588000.0;636187.0;67541.0;51341909.0
12122;Zimbabwe;235027.0;2060377.0;58333000.0;193820.0;31884.0;60856127.0
