;Entity;Meat, Total | tonnes;Duck | tonnes;Goose and guinea fowl | tonnes;Sheep and goat | tonnes;Beef and buffalo | tonnes;Pig | tonnes;Chicken | tonnes
58;Afghanistan;258643.0;0.0;0.0;130387.0;98204.0;0.0;28033.0
117;Africa;18077074.0;162353.0;27333.0;3284387.0;6348847.0;1592152.0;6659983.0
235;Albania;86975.0;0.0;0.0;24888.0;36709.0;10232.0;13127.0
294;Algeria;786026.0;0.0;0.0;347657.0;151590.0;107.0;284653.0
412;Angola;322611.0;0.0;0.0;25431.0;104312.0;141847.0;49002.0
471;Antigua and Barbuda;2160.0;0.0;0.0;7.0;60.0;58.0;16.0
530;Argentina;6078084.0;9687.0;535.0;61202.0;3135908.0;629717.0;2239016.0
558;Armenia;109354.0;0.0;0.0;10735.0;68100.0;16100.0;12400.0
617;Asia;132981364.0;4200727.0;2688969.0;9279073.0;19014344.0;54409796.0;43386436.0
735;Australia;4796283.0;16539.0;0.0;752201.0;2351793.0;414470.0;1259261.0
794;Austria;873199.0;520.0;550.0;7860.0;229610.0;502030.0;130610.0
822;Azerbaijan;337738.0;0.0;0.0;85300.0;137929.0;494.0;111996.0
881;Bahamas;8940.0;0.0;0.0;104.0;19.0;358.0;6440.0
940;Bangladesh;693106.0;56277.0;0.0;232279.0;198825.0;0.0;203706.0
999;Barbados;21573.0;0.0;0.0;122.0;172.0;2840.0;16420.0
1027;Belarus;1153172.0;2508.0;0.0;1200.0;328000.0;382800.0;436645.0
1047;Belgium;1755579.0;110.0;0.0;3070.0;263750.0;1038990.0;447640.0
1145;Belize;26520.0;14.0;0.0;35.0;1743.0;2060.0;20649.0
1204;Benin;76272.0;0.0;0.0;9463.0;42942.0;6821.0;15027.0
1263;Bolivia;911731.0;2087.0;0.0;37603.0;266499.0;117767.0;485756.0
1291;Bosnia and Herzegovina;90197.0;0.0;0.0;1393.0;11802.0;7749.0;67234.0
1350;Botswana;45938.0;0.0;0.0;5588.0;34000.0;388.0;3943.0
1409;Brazil;28557054.0;6987.0;0.0;135443.0;10200000.0;4125728.0;14086877.0
1517;Bulgaria;220175.0;19750.0;131.0;9360.0;18355.0;81590.0;88970.0
1576;Burkina Faso;253345.0;0.0;0.0;57968.0;108745.0;40470.0;44143.0
1582;Burundi;43927.0;0.0;0.0;10522.0;15080.0;9751.0;6555.0
1641;Cambodia;184629.0;10185.0;0.0;0.0;61755.0;92960.0;17710.0
1700;Cameroon;235895.0;0.0;0.0;34074.0;82302.0;32589.0;84911.0
1759;Canada;5091816.0;8950.0;974.0;16951.0;1393831.0;2173209.0;1495882.0
1818;Cape Verde;6826.0;0.0;0.0;1016.0;692.0;2311.0;788.0
1936;Central African Republic;152518.0;0.0;0.0;26893.0;97501.0;19390.0;6715.0
2082;Chad;767997.0;0.0;0.0;302375.0;454477.0;2549.0;6577.0
2141;Chile;1528756.0;0.0;0.0;13241.0;208313.0;536011.0;769172.0
2200;China;74797889.0;3341045.0;2659600.0;4835526.0;6646764.0;42553071.0;14759864.0
2318;Colombia;2895773.0;0.0;0.0;1819.0;776680.0;422077.0;1693178.0
2328;Comoros;4291.0;0.0;0.0;475.0;1214.0;0.0;583.0
2387;Congo;17957.0;0.0;0.0;1518.0;5842.0;1795.0;6783.0
2446;Costa Rica;300629.0;0.0;0.0;35.0;88595.0;64980.0;145000.0
2505;Cote d'Ivoire;137406.0;0.0;0.0;16110.0;33559.0;11621.0;74097.0
2533;Croatia;241880.0;0.0;0.0;5840.0;45430.0;120800.0;67791.0
2592;Cuba;365266.0;0.0;0.0;11984.0;80710.0;235153.0;35400.0
2651;Cyprus;83259.0;0.0;0.0;5430.0;5610.0;43350.0;26850.0
2678;Czechia;469569.0;0.0;0.0;4020.0;74450.0;218610.0;170470.0
2720;Democratic Republic of Congo;78322.0;0.0;0.0;19431.0;20390.0;26076.0;10406.0
2779;Denmark;1788037.0;1500.0;18.0;1600.0;125600.0;1500400.0;156900.0
2838;Djibouti;12568.0;0.0;0.0;4532.0;6017.0;0.0;0.0
2897;Dominica;3435.0;0.0;0.0;66.0;560.0;426.0;364.0
2956;Dominican Republic;502770.0;0.0;0.0;1794.0;64300.0;79943.0;354714.0
3192;Ecuador;799028.0;611.0;71.0;5227.0;228878.0;240768.0;321454.0
3251;Egypt;2341579.0;55000.0;14000.0;54000.0;642000.0;771.0;1573789.0
3310;El Salvador;174513.0;0.0;0.0;118.0;18468.0;7126.0;146782.0
3370;Estonia;77357.0;0.0;0.0;510.0;9250.0;45290.0;20288.0
3429;Eswatini;28240.0;0.0;0.0;2319.0;16478.0;1368.0;6056.0
3456;Ethiopia;741673.0;0.0;0.0;270508.0;408538.0;2131.0;58477.0
3515;Europe;63628589.0;505721.0;15894.0;1233565.0;10590442.0;29741600.0;21539348.0
3751;Fiji;43874.0;411.0;0.0;277.0;2794.0;4080.0;34293.0
3810;Finland;399319.0;0.0;0.0;1500.0;87760.0;168950.0;139090.0
3869;France;5377529.0;219000.0;0.0;87200.0;1428460.0;2200350.0;1440500.0
3928;French Polynesia;3739.0;32.0;0.0;75.0;135.0;853.0;625.0
3987;Gabon;11692.0;0.0;0.0;1155.0;989.0;3557.0;3972.0
4046;Gambia;9713.0;0.0;0.0;1240.0;4233.0;572.0;1649.0
4074;Georgia;71136.0;100.0;0.0;5917.0;22100.0;18300.0;22700.0
4133;Germany;7919885.0;34000.0;2866.0;35000.0;1107000.0;5232000.0;1507000.0
4192;Ghana;177307.0;0.0;0.0;51962.0;29705.0;25665.0;67956.0
4251;Greece;442432.0;50.0;0.0;89950.0;34134.0;86200.0;230079.0
4310;Grenada;3083.0;0.0;0.0;136.0;138.0;256.0;534.0
4369;Guatemala;523947.0;0.0;0.0;2271.0;225142.0;64247.0;230268.0
4428;Guinea;143307.0;0.0;0.0;28072.0;99607.0;2417.0;11192.0
4487;Guinea-Bissau;28709.0;0.0;0.0;2517.0;7167.0;13950.0;3056.0
4546;Guyana;45361.0;0.0;0.0;833.0;2828.0;952.0;38729.0
4605;Haiti;97346.0;198.0;39.0;6464.0;47804.0;31904.0;8918.0
4664;High-income countries;119643717.0;735069.0;22738.0;2546423.0;26618589.0;43195917.0;46522962.0
4723;Honduras;290025.0;0.0;0.0;255.0;64876.0;10279.0;212596.0
4782;Hong Kong;152497.0;482.0;0.0;83.0;6632.0;120000.0;23281.0
4841;Hungary;1028379.0;90850.0;0.0;1800.0;30820.0;462060.0;440830.0
